Video,Query ID,Language Query,Type,Track ID,Start Frame,End Frame,Revision
MOT17-07,,A person looks underneath the baby stroller,M,4,49,102,
MOT17-07,,A person raises his hand against his face,M,2,140,171,
MOT17-07,,A person walking in the main street out of frame in the right,O,1,1,88,
MOT17-07,,A person lowers her hand and starts walking,M,5,121,500,
MOT17-07,,A baby stroller goes out of the frame in the right,M,3,1,256,
MOT17-07,,A person sits down on a bench,M,6,369,429,
MOT17-07,,A person walks from the main street to the sidewalk in the right as she walks forward,M,17,292,415,
MOT17-07,,A person walking in the main street goes out of frame in the right,M,7,1,359,
MOT17-07,,A person walking in the main street goes out of frame in the right,M,8,1,478,
MOT17-07,,A person walks from behind the black wall structure to the main street,M,11,257,333,
MOT17-07,,A person makes a glance to the right and makes a slight right turn,M,9,125,220,
MOT17-07,,A person disappears from the frame from the left side of the camera,M,10,209,243,
MOT17-07,,A person walks behind the black wall structure,M,12,285,334,
MOT17-07,,A person walks behind the black wall structure,M,13,261,321,
MOT17-07,,A person takes a left turn and goes out of the frame in the left,M,14,278,341,
MOT17-07,,A person walks forward,O,15,1,500,
MOT17-07,,A person scratches his head,M,18,136,192,
MOT17-07,,A person moves a bit and adjusts himself while remaining in a seated position,M,16,167,186,
MOT17-07,,A person walking right turns forward and starts to walk forward,M,19,169,500,
MOT17-07,,A person crossing the street from the right to the left walks behind a black wall structure,M,20,302,353,
MOT17-07,,A person glances right as he walks and holds both of his hands together,M,21,142,178,
MOT17-07,,A child initially glancing to the right looks forwards,M,23,156,250,
MOT17-07,,A person raises both of his hands with which he was holding his phone,M,22,351,376,
MOT17-07,,A person comes out of a shop in the right and walks in the sidewalk,M,32,117,193,
MOT17-07,,A woman takes a step to the right,M,26,210,252,
MOT17-07,,A person with a bicycle disappears out of frame in the right,M,27,335,348,
MOT17-07,,A bicycle goes out of frame in the right,M,28,335,339,
MOT17-07,,A person conversing with other people disappears out of the frame in the right,M,29,411,432,
MOT17-07,,A person conversing with other people disappears out of the frame in the right,M,30,394,403,
MOT17-07,,A person conversing with other people disappears out of the frame in the right,M,31,387,396,
MOT17-07,,A person takes a slight right turn as she walks forward,M,24,275,426,
MOT17-07,,A person removes his hand from his mouth and turns forward,M,33,389,457,
MOT17-07,,A person glancing to the left disappears out of the frame in the right,M,49,351,357,
MOT17-07,,A person remains seated,O,48,312,500,
MOT17-07,,A person standing in the main street starts walking forwards,M,45,424,500,
MOT17-07,,A person standing in the main street starts walking forwards,M,46,425,500,
MOT17-07,,A person standing in the main street conversing with other people,O,44,1,500,
MOT17-07,,A person standing in the main street conversing with other people,O,50,1,500,
MOT17-07,,A person with a baby walks in the main street from behind the black wall structure,M,35,97,155,
MOT17-07,,A person walking forward as she carries a baby,O,37,1,500,
MOT17-07,,A person sitting on a bench looks to the right,M,39,473,500,
MOT17-07,,A baby gets carried to the main street from behind the black wall structure,M,36,97,155,
MOT17-07,,A person walks to the main street from behind the black wall structure,M,41,38,166,
MOT17-07,,A person raises her hand as she sings,M,38,384,500,
MOT17-07,,A person walking back to the direction of the camera,O,47,308,500,
MOT17-07,,A person walking back to the direction of the camera,O,40,190,500,
MOT17-07,,A person walking back to the direction of the camera,O,42,190,500,
MOT17-07,,A person walking forward with a back,O,43,164,500,
MOT17-07,,A person appears from behind a black wall structure,M,34,283,329,
MOT17-08,,A person drinks from a bottle while conversing with another person,M,1,410,503,
MOT17-08,,A child starts walking and disappears to the left side of the frame,M,2,99,269,
MOT17-08,,A person starts walking forward and disappears to the left side of the frame,M,3,84,335,
MOT17-08,,A child turns around and starts walking,M,4,108,332,
MOT17-08,,A person looks away from the camera and disappears to the left side of the frame,M,5,7,56,
MOT17-08,,A person walks to the right side and disappears to the right side of the frame while looking at the camera,M,6,1,96,
MOT17-08,,A person walks and moves out of the frame in the right side of the camera,M,7,238,263,
MOT17-08,,A person starts walking across the street and disappears to the left side of the frame,M,8,45,398,
MOT17-08,,A woman stops drinking from a bottle and switches the bottle from one hand to another,M,9,30,98,
MOT17-08,,A person walks from one side of the street to another between some wooden structure containing plants,M,10,208,267,
